AirlineName,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
ATA Airlines d/b/a ATA: TZ,19602,0,0,0,0,0,0,0,0,0,0
AirTran Airways Corporation: FL,237645,263159,261684,251415,38383,248703,218162,173952,79495,0,0
Alaska Airlines Inc.: AS,159404,160185,151102,137322,20099,143726,147569,154743,160257,172521,134731
Aloha Airlines Inc.: AQ,35387,46360,7800,0,0,0,0,0,0,0,0
American Airlines Inc.: AA,643597,633857,604885,551597,88874,538179,525220,537891,537697,725984,693703
Comair Inc.: OH (1),278099,236032,197607,151774,21790,0,0,0,0,0,0
Continental Air Lines Inc.: CO,309389,323151,298455,258159,38089,245318,0,0,0,0,0
Delta Air Lines Inc.: DL,506086,475889,451931,428007,109918,732331,726879,754670,800375,875881,698064
Endeavor Air Inc.: 9E,0,258851,262208,262973,42279,0,0,296701,0,0,0
Envoy Air: MQ,550088,540494,490693,437009,70062,448178,473140,439865,392701,294632,0
ExpressJet Airlines Inc. (1): XE,441470,434773,374510,310717,54493,413286,0,0,0,0,0
ExpressJet Airlines Inc.: EV,273143,286234,280575,299000,47690,327845,740855,748696,686021,571977,377333
Frontier Airlines Inc.: F9,90181,97760,95762,86989,12602,85485,79255,75612,85474,90836,70550
Hawaiian Airlines Inc.: HA,52173,56175,61826,72920,10828,66740,74109,72286,74732,76272,58136
JetBlue Airways: B6,155732,191450,196091,194336,31553,215970,229056,241777,249693,267048,211942
Mesa Airlines Inc.: YV,304764,294362,254930,244128,33986,156297,133976,140922,0,0,0
Northwest Airlines Inc.: NW,432880,414526,347652,293133,0,0,0,0,0,0,0
SkyWest Airlines Inc.: OO,548109,597880,567157,547572,93663,587372,617756,626359,613030,588353,458004
Southwest Airlines Co.: WN,1099321,1168871,1201754,1132278,172612,1155717,1140535,1130704,1174633,1261855,973436
Spirit Air Lines: NK,0,0,0,0,0,0,0,0,0,117379,102663
US Airways Inc.: US (Merged with America West 9/05. Reporting for both starting 10/07.),504844,485447,453589,413907,64323,408922,404263,412373,414665,198715,0
United Air Lines Inc.: UA,500008,490002,449515,377049,53835,311212,531245,505798,493528,515723,403316
Virgin America: VX,0,0,0,0,0,0,54742,57133,57510,61903,51267
